Student_ID,Gender,Study_Hours,Attendance,Past_Exam_Scores,Final_Exam_Score,Pass,Pass_numeric
S332,Male,24,69.86590577,69,54,Fail,0
S235,Female,11,84.68588037,88,67,Pass,1
S387,Male,35,95.53120018,66,65,Pass,1
S345,Male,19,74.05439742,61,51,Fail,0
S190,Female,33,56.94123867,89,59,Fail,0
S160,Female,21,95.86978065,58,66,Pass,1
S349,Female,35,66.71814057,65,58,Fail,0
S409,Female,21,84.94229266,90,63,Pass,1
S341,Male,16,64.70223396,84,50,Fail,0
S156,Female,23,84.84807312,74,68,Pass,1
S241,Female,30,99.8846308,98,74,Pass,1
S011,Male,12,84.58571986,80,60,Pass,1
S313,Female,30,95.63747314,78,61,Pass,1
S126,Female,39,61.66082058,98,63,Pass,1
S328,Male,38,76.75348595,70,64,Pass,1
S368,Female,15,77.83607924,95,61,Pass,1
S339,Female,38,91.82824066,64,61,Pass,1
S221,Male,11,94.98337226,91,57,Fail,0
S192,Male,32,55.83480321,89,59,Fail,0
S496,Male,31,79.41318785,67,65,Pass,1
S370,Male,28,90.26574837,74,64,Pass,1
S017,Female,31,87.8540601,88,65,Pass,1
S101,Male,37,79.86390411,73,70,Pass,1
S175,Female,31,76.49200116,55,50,Fail,0
S017,Female,31,87.8540601,88,65,Pass,1
S459,Male,37,92.32039247,61,61,Pass,1
S232,Female,19,71.57640716,62,52,Fail,0
S458,Female,27,92.07648302,99,65,Pass,1
S138,Male,31,66.87234169,81,59,Fail,0
S254,Male,14,80.1978936,56,52,Fail,0
S469,Male,30,72.98407564,65,54,Fail,0
S329,Female,20,59.22314357,96,64,Pass,1
S027,Female,18,63.4336241,86,50,Fail,0
S360,Male,31,77.58612976,99,66,Pass,1
S432,Female,10,81.65490317,62,50,Fail,0
S038,Male,34,74.00229835,71,54,Fail,0
S154,Male,26,52.58177389,58,50,Fail,0
S484,Female,34,87.9196207,74,58,Fail,0
S146,Male,14,61.26663989,63,50,Fail,0
S294,Female,21,91.87453945,96,65,Pass,1
S283,Female,34,88.56233343,96,72,Pass,1
S488,Female,39,81.86157899,95,61,Pass,1
S434,Female,31,78.66471891,71,55,Fail,0
S039,Male,33,71.02678893,74,58,Fail,0
S023,Female,35,60.36138245,93,63,Pass,1
S498,Female,27,77.79032907,67,58,Fail,0
S234,Female,39,86.52745684,61,53,Fail,0
S369,Male,37,86.04065482,64,61,Pass,1
S340,Female,15,79.37268021,83,61,Pass,1
S073,Male,19,59.00336362,50,50,Fail,0
S353,Male,14,94.87152049,74,63,Pass,1
S031,Male,16,91.5685745,72,52,Fail,0
S125,Male,11,76.7667782,72,57,Fail,0
S410,Female,22,70.12750218,66,50,Fail,0
S402,Female,34,78.288831,87,65,Pass,1
S053,Male,21,95.52356392,62,50,Fail,0
S351,Female,14,87.66231104,57,55,Fail,0
S391,Male,38,68.15296061,79,60,Pass,1
S257,Male,12,74.3178741,81,50,Fail,0
S235,Female,11,84.68588037,88,67,Pass,1
S181,Male,35,66.03210961,62,50,Fail,0
S445,Female,15,91.85394954,93,67,Pass,1
S165,Female,30,91.04307366,60,50,Fail,0
S461,Female,14,57.73360704,57,52,Fail,0
S354,Female,15,76.32892333,66,50,Fail,0
S446,Male,21,71.85966982,98,62,Pass,1
S324,Female,35,98.77706578,66,71,Pass,1
S342,Female,23,85.70295999,98,60,Pass,1
S447,Male,33,95.77568386,89,69,Pass,1
S455,Male,17,63.49556112,80,53,Fail,0
S278,Female,26,55.11063321,71,50,Fail,0
S094,Female,12,84.38923585,61,50,Fail,0
S409,Female,21,84.94229266,90,63,Pass,1
S226,Female,32,67.76812259,88,56,Fail,0
S069,Female,35,73.00595795,74,60,Pass,1
S450,Female,17,97.46533985,55,50,Fail,0
S092,Female,39,54.61452931,73,60,Pass,1
S026,Female,10,52.34482339,52,50,Fail,0
S224,Female,27,71.93723377,92,59,Fail,0
S356,Male,17,98.94657178,57,50,Fail,0
S097,Female,29,68.86429826,92,64,Pass,1
S321,Female,35,61.0048607,60,50,Fail,0
S188,Male,13,84.22857739,100,65,Pass,1
S083,Male,37,67.38096072,86,65,Pass,1
S240,Female,35,78.65754246,76,60,Pass,1
S365,Male,22,66.96356229,73,61,Pass,1
S095,Female,32,75.58285068,86,63,Pass,1
S408,Female,35,87.08434721,73,60,Pass,1
S289,Male,13,95.53430991,56,60,Pass,1
S115,Male,39,51.52360764,92,64,Pass,1
S325,Female,14,72.9494494,93,54,Fail,0
S327,Male,32,93.03160089,78,77,Pass,1
S172,Male,32,85.54762394,97,64,Pass,1
S441,Male,21,59.21854603,99,60,Pass,1
S198,Female,33,87.29872628,73,72,Pass,1
S034,Female,32,98.39868827,64,67,Pass,1
S032,Male,38,65.38886199,93,67,Pass,1
S103,Female,39,76.8295323,62,68,Pass,1
S042,Male,35,90.25223338,82,68,Pass,1
S282,Female,25,82.56836055,63,54,Fail,0
S116,Female,32,93.36074905,83,66,Pass,1
S436,Female,12,70.21907508,51,50,Fail,0
S460,Male,37,97.76181564,57,59,Fail,0
S338,Male,26,68.88629737,87,65,Pass,1
S244,Male,20,88.92859695,89,61,Pass,1
S048,Male,10,77.74078043,84,56,Fail,0
S006,Female,27,53.17559148,57,50,Fail,0
S052,Female,23,72.54552237,62,50,Fail,0
S095,Female,32,75.58285068,86,63,Pass,1
S470,Female,29,53.79667052,53,50,Fail,0
S147,Male,31,68.26784098,86,63,Pass,1
S355,Female,28,90.03748857,78,67,Pass,1
S316,Female,34,58.27566587,51,54,Fail,0
S191,Male,25,50.13554497,83,50,Fail,0
S347,Male,27,88.26781405,64,67,Pass,1
S104,Female,28,96.20208796,83,67,Pass,1
S127,Female,31,67.14634321,58,50,Fail,0
S151,Male,37,90.29324434,52,56,Fail,0
S157,Male,39,99.86277674,83,64,Pass,1
S044,Female,34,80.8631856,94,65,Pass,1
S157,Male,39,99.86277674,83,64,Pass,1
S285,Female,22,53.44607697,61,50,Fail,0
S300,Female,28,87.21248259,75,65,Pass,1
S391,Male,38,68.15296061,79,60,Pass,1
S092,Female,39,54.61452931,73,60,Pass,1
S310,Female,36,95.92273625,88,64,Pass,1
S270,Male,26,64.39648082,53,50,Fail,0
S219,Female,21,72.59743006,80,58,Fail,0
S391,Male,38,68.15296061,79,60,Pass,1
S139,Male,38,94.98236986,84,71,Pass,1
S173,Male,35,59.97534637,75,59,Fail,0
S465,Female,31,67.57700806,96,62,Pass,1
S222,Male,38,81.20507721,59,60,Pass,1
S489,Male,27,99.02884001,85,64,Pass,1
S145,Female,28,50.37671816,53,50,Fail,0
S249,Male,30,87.73176459,84,69,Pass,1
S304,Female,30,55.713365,78,50,Fail,0
S371,Female,38,99.4364391,79,68,Pass,1
S140,Male,32,80.37776111,87,69,Pass,1
S423,Female,28,70.2624044,99,62,Pass,1
S001,Male,38,68.8369485,64,50,Fail,0
S412,Female,38,82.25270839,95,76,Pass,1
S056,Female,24,84.88209357,81,67,Pass,1
S030,Female,25,73.81053484,75,50,Fail,0
S397,Female,37,93.053401,81,61,Pass,1
S113,Female,35,92.22203363,95,64,Pass,1
S150,Female,23,54.39438123,90,53,Fail,0
S162,Male,35,98.75335815,89,71,Pass,1
S218,Male,22,84.14910317,100,63,Pass,1
S111,Female,35,56.65584643,100,57,Fail,0
S248,Male,34,74.69907436,94,53,Fail,0
S067,Female,31,67.07816052,59,50,Fail,0
S218,Male,22,84.14910317,100,63,Pass,1
S481,Female,28,76.06503337,72,54,Fail,0
S239,Male,13,87.07304556,95,58,Fail,0
S238,Female,16,74.77118132,62,50,Fail,0
S096,Female,17,57.84888414,86,50,Fail,0
S419,Female,37,76.48308393,82,63,Pass,1
S474,Female,38,50.26269093,52,51,Fail,0
S446,Male,21,71.85966982,98,62,Pass,1
S495,Male,10,52.20827189,93,52,Fail,0
S446,Male,21,71.85966982,98,62,Pass,1
S106,Female,33,87.99777045,56,55,Fail,0
S319,Male,30,89.02478538,69,56,Fail,0
S486,Female,19,87.95179228,100,64,Pass,1
S119,Female,30,55.24345833,98,62,Pass,1
S088,Male,13,94.71086314,64,50,Fail,0
S286,Male,36,53.86605327,85,53,Fail,0
S091,Female,29,66.07913823,98,60,Pass,1
S446,Male,21,71.85966982,98,62,Pass,1
S158,Female,29,94.83051315,61,50,Fail,0
S017,Female,31,87.8540601,88,65,Pass,1
S024,Female,26,93.91103337,94,65,Pass,1
S466,Male,26,70.63967753,56,55,Fail,0
S444,Female,17,53.41248527,91,50,Fail,0
S376,Female,19,57.05409244,69,50,Fail,0
S415,Male,25,95.02861506,65,50,Fail,0
S247,Male,13,85.70320411,73,53,Fail,0
S188,Male,13,84.22857739,100,65,Pass,1
S392,Male,18,51.71140554,67,50,Fail,0
S486,Female,19,87.95179228,100,64,Pass,1
S283,Female,34,88.56233343,96,72,Pass,1
S447,Male,33,95.77568386,89,69,Pass,1
S169,Male,39,91.92912794,87,73,Pass,1
S398,Female,39,60.97552625,60,50,Fail,0
S065,Male,39,60.45653955,93,59,Fail,0
S140,Male,32,80.37776111,87,69,Pass,1
S255,Male,18,75.11441737,59,50,Fail,0
S293,Male,28,59.31604397,55,50,Fail,0
S202,Female,37,60.2500905,77,51,Fail,0
S491,Female,22,82.33324596,57,50,Fail,0
S236,Female,28,58.336538,51,50,Fail,0
S364,Female,34,79.75244899,93,59,Fail,0
S207,Female,20,89.07572409,92,62,Pass,1
S437,Female,25,88.54556885,87,61,Pass,1
S063,Male,34,81.04028422,93,69,Pass,1
S290,Female,21,56.14053909,78,50,Fail,0
S464,Male,36,67.2191866,69,57,Fail,0
S201,Male,12,99.54647382,89,67,Pass,1
S375,Male,36,97.22048628,93,65,Pass,1
S133,Male,10,86.84112377,99,57,Fail,0
S036,Male,12,89.59089197,53,50,Fail,0
S397,Female,37,93.053401,81,61,Pass,1
S445,Female,15,91.85394954,93,67,Pass,1
S160,Female,21,95.86978065,58,66,Pass,1
S346,Male,18,74.85059744,67,50,Fail,0
S162,Male,35,98.75335815,89,71,Pass,1
S122,Male,35,78.1982546,54,57,Fail,0
S069,Female,35,73.00595795,74,60,Pass,1
S308,Female,34,73.28500612,62,55,Fail,0
S142,Male,21,74.91238489,96,61,Pass,1
S418,Female,20,91.1291938,69,50,Fail,0
S080,Female,10,61.1924533,99,53,Fail,0
S208,Female,14,91.39704436,94,73,Pass,1
S222,Male,38,81.20507721,59,60,Pass,1
S307,Female,21,96.14801159,84,65,Pass,1
S029,Female,31,74.90825933,89,68,Pass,1
S279,Male,26,95.93752611,75,61,Pass,1
S479,Male,15,89.50067794,67,52,Fail,0
S340,Female,15,79.37268021,83,61,Pass,1
S177,Male,13,88.38897507,97,59,Fail,0
S424,Male,29,74.8732447,82,60,Pass,1
S092,Female,39,54.61452931,73,60,Pass,1
S400,Male,37,88.98793874,74,64,Pass,1
S097,Female,29,68.86429826,92,64,Pass,1
S368,Female,15,77.83607924,95,61,Pass,1
S289,Male,13,95.53430991,56,60,Pass,1
S093,Female,24,74.0572697,53,50,Fail,0
S399,Female,34,98.72736326,94,66,Pass,1
S241,Female,30,99.8846308,98,74,Pass,1
S076,Female,31,93.71588024,52,55,Fail,0
S207,Female,20,89.07572409,92,62,Pass,1
S468,Male,10,79.91430291,69,50,Fail,0
S312,Male,13,51.64233351,78,50,Fail,0
S148,Male,34,74.39049004,83,59,Fail,0
S070,Female,31,79.2383053,88,57,Fail,0
S040,Male,22,89.2334132,62,50,Fail,0
S467,Female,18,85.24627748,60,52,Fail,0
S197,Female,29,92.536373,55,61,Pass,1
S276,Female,18,86.3047793,59,51,Fail,0
S227,Male,26,69.57410551,80,53,Fail,0
S235,Female,11,84.68588037,88,67,Pass,1
S393,Female,16,91.53272533,95,64,Pass,1
S283,Female,34,88.56233343,96,72,Pass,1
S426,Male,27,55.32893651,82,52,Fail,0
S396,Female,22,68.13789473,87,54,Fail,0
S411,Male,22,60.90115537,61,50,Fail,0
S069,Female,35,73.00595795,74,60,Pass,1
S405,Female,15,59.10535694,60,50,Fail,0
S342,Female,23,85.70295999,98,60,Pass,1
S205,Female,38,86.07982754,90,72,Pass,1
S050,Female,23,86.31985163,83,55,Fail,0
S350,Male,11,53.77516819,76,50,Fail,0
S403,Male,33,99.26836561,90,64,Pass,1
S454,Female,35,74.1877471,88,69,Pass,1
S025,Female,17,87.84995661,83,58,Fail,0
S494,Female,33,83.49587323,100,71,Pass,1
S369,Male,37,86.04065482,64,61,Pass,1
S144,Female,25,96.68459119,58,53,Fail,0
S273,Female,32,56.95580971,61,50,Fail,0
S421,Female,13,74.90453768,89,50,Fail,0
S058,Male,11,72.9673404,88,54,Fail,0
S359,Male,10,70.39922477,95,50,Fail,0
S240,Female,35,78.65754246,76,60,Pass,1
S339,Female,38,91.82824066,64,61,Pass,1
S115,Male,39,51.52360764,92,64,Pass,1
S198,Female,33,87.29872628,73,72,Pass,1
S082,Female,30,67.25413139,67,50,Fail,0
S101,Male,37,79.86390411,73,70,Pass,1
S206,Male,28,52.4047322,62,50,Fail,0
S323,Female,23,75.75868412,52,50,Fail,0
S159,Male,14,78.79992089,91,61,Pass,1
S383,Female,22,56.13884448,73,50,Fail,0
S339,Female,38,91.82824066,64,61,Pass,1
S475,Male,22,55.1546873,90,51,Fail,0
S301,Male,35,60.27899042,83,62,Pass,1
S329,Female,20,59.22314357,96,64,Pass,1
S230,Male,38,61.45126955,51,50,Fail,0
S201,Male,12,99.54647382,89,67,Pass,1
S267,Female,39,67.12621286,81,59,Fail,0
S489,Male,27,99.02884001,85,64,Pass,1
S022,Male,11,63.73658985,84,50,Fail,0
S287,Male,28,55.2123483,84,50,Fail,0
S042,Male,35,90.25223338,82,68,Pass,1
S011,Male,12,84.58571986,80,60,Pass,1
S087,Female,16,67.79957421,95,52,Fail,0
S231,Female,35,77.14246553,63,57,Fail,0
S380,Male,39,81.66203875,97,66,Pass,1
S373,Female,31,90.34250745,56,58,Fail,0
S235,Female,11,84.68588037,88,67,Pass,1
S375,Male,36,97.22048628,93,65,Pass,1
S342,Female,23,85.70295999,98,60,Pass,1
S137,Male,14,68.9386313,52,50,Fail,0
S156,Female,23,84.84807312,74,68,Pass,1
S179,Male,29,75.30519782,77,61,Pass,1
S399,Female,34,98.72736326,94,66,Pass,1
S217,Female,38,79.41533379,94,63,Pass,1
S260,Male,25,50.61015362,64,50,Fail,0
S404,Male,10,73.55327263,57,50,Fail,0
S327,Male,32,93.03160089,78,77,Pass,1
S348,Female,36,55.14907397,93,61,Pass,1
S204,Male,10,96.32247118,97,56,Fail,0
S117,Male,18,67.70733354,75,50,Fail,0
S310,Female,36,95.92273625,88,64,Pass,1
S114,Female,30,87.4808116,59,50,Fail,0
S200,Male,27,96.64690335,65,63,Pass,1
S456,Male,35,76.99213895,81,65,Pass,1
S010,Female,35,53.76795302,67,50,Fail,0
S184,Male,10,72.71339861,89,54,Fail,0
S153,Male,24,92.11570176,78,53,Fail,0
S130,Female,17,82.44114201,98,62,Pass,1
S099,Female,22,93.41505535,88,63,Pass,1
S196,Female,36,55.33496251,82,56,Fail,0
S422,Female,12,53.35877,81,50,Fail,0
S401,Female,26,55.7118963,82,52,Fail,0
S195,Male,37,89.7144725,94,66,Pass,1
S337,Male,21,81.24879935,50,55,Fail,0
S318,Male,22,65.57365856,63,50,Fail,0
S007,Male,34,51.84109338,99,54,Fail,0
S490,Male,36,95.16819063,94,64,Pass,1
S078,Female,37,98.65551746,63,70,Pass,1
S420,Female,14,90.75272142,59,55,Fail,0
S081,Male,17,91.08953184,53,53,Fail,0
S378,Male,28,66.19950306,58,53,Fail,0
S242,Male,27,87.620156,90,52,Fail,0
S102,Female,19,99.31284979,60,60,Pass,1
S280,Female,39,89.50423186,67,64,Pass,1
S437,Female,25,88.54556885,87,61,Pass,1
S061,Male,31,53.31179889,98,67,Pass,1
S110,Male,32,57.3869546,78,50,Fail,0
S044,Female,34,80.8631856,94,65,Pass,1
S294,Female,21,91.87453945,96,65,Pass,1
S360,Male,31,77.58612976,99,66,Pass,1
S179,Male,29,75.30519782,77,61,Pass,1
S309,Female,29,74.0418489,90,62,Pass,1
S371,Female,38,99.4364391,79,68,Pass,1
S193,Male,11,73.65831005,76,54,Fail,0
S393,Female,16,91.53272533,95,64,Pass,1
S388,Male,29,81.23806355,57,50,Fail,0
S123,Female,10,92.03549929,54,50,Fail,0
S357,Female,25,91.98944297,64,57,Fail,0
S339,Female,38,91.82824066,64,61,Pass,1
S328,Male,38,76.75348595,70,64,Pass,1
S310,Female,36,95.92273625,88,64,Pass,1
S360,Male,31,77.58612976,99,66,Pass,1
S256,Male,33,76.99303186,90,69,Pass,1
S292,Male,18,58.27602552,82,50,Fail,0
S002,Female,30,87.478915,56,50,Fail,0
S095,Female,32,75.58285068,86,63,Pass,1
S243,Female,22,85.34902306,66,50,Fail,0
S167,Female,13,76.7518366,73,50,Fail,0
S471,Male,22,53.8882672,55,50,Fail,0
S311,Female,30,79.35341121,64,50,Fail,0
